artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
The Lawrence Arms,0RRRPFd7JlYBvzbqPNWwy6,Boatless Booze Cruise Part 1,0.0012,0.3,207667,0.935,0.795,4,0.108,-5.377000000000001,1,0.0318,154.224,4,0.922,12
Pramod Surya,4IYPNASBe5ZwT55Ymcq9Nq,Gumma Baruvanaamma,0.426,0.6970000000000001,252889,0.437,9.6e-05,3,0.102,-8.883,1,0.0321,134.99,3,0.502,0
Michael Musco,1bzbOyAwogoOg7lQR6q6F6,Peaceful Drift - Original Mix,0.967,0.908,140851,0.281,0.97,7,0.11,-15.441,1,0.11,119.976,4,0.8590000000000001,2
Madi Sipes & The Painted Blue,6gtxxo1mlBrVXQlOkFMoED,Sex & Sadness,0.7170000000000001,0.624,247857,0.612,0.00135,11,0.0822,-9.736,0,0.123,83.90100000000001,4,0.621,46
Skiibii,2tsuHoDRjMTPkibpOkRuq4,Sensima,0.0899,0.8740000000000001,187794,0.807,0.0,7,0.0698,-3.973,1,0.177,109.945,4,0.884,64
Pioneer Stroller,2BAAbICCXUY92qjQfKyAok,Dance,0.000468,0.518,67617,0.767,0.282,5,0.192,-11.633,0,0.127,149.958,4,0.452,6
Javed-Mohsin,79hQvdTHNBkq2fp2ZrM8b2,Pal,0.701,0.495,247286,0.498,0.0,7,0.0706,-7.023,0,0.0337,133.99200000000002,4,0.32,54
Johann Sebastian Bach,02kgcLjVFd5TpQWiN5ObLV,"Neumeister Chorales: Jesu, meines Lebens Leben, BWV 1107",0.959,0.141,117173,0.0253,0.965,3,0.111,-27.352,1,0.032,70.946,4,0.104,1
Gabby Tamez,3iKAe68M8OSAI8hFQd7MN8,Enamorada de Ti,0.119,0.716,148034,0.617,0.0,9,0.163,-4.694,1,0.0362,144.757,4,0.614,8
Antonín Dvořák,0OtyEzqWZwG6Jk34BIGdV6,"Dvorák: Lasst mich allein (From 4 Lieder, Op. 82, B. 157)",0.978,0.2019999999999999,250400,0.0466,0.935,11,0.138,-24.104,1,0.0465,129.227,3,0.0366,43
Futuristic,3TRhN09SBZyuzmPrRY551f,Lil Bit,0.212,0.862,156850,0.648,0.0,11,0.0949,-4.812,1,0.1,127.121,4,0.685,43
Clyde Kelly,3i9nh19Bnjyr8Ulod7eUYy,Starvation,0.0929,0.6459999999999999,192000,0.4629999999999999,0.0015,8,0.115,-8.846,1,0.0938,119.904,4,0.0785,12
Manuel Le Saux,6kV23mqriY745w7XLIu54V,Everywhere You Go (ASOT 880) [Tune Of The Week],0.000154,0.366,207930,0.72,0.023,6,0.324,-11.539,0,0.0495,138.002,4,0.159,24
Tray Loop,6jBMpjIqzOXSHw6yWbsxY0,Highlights,0.0166,0.6579999999999999,173113,0.377,1.53e-06,0,0.0522,-13.533,1,0.0348,150.041,4,0.2739999999999999,24
Bugseed,5jyu43MhfC5MNyjjxIhfXm,pizza pizza,0.0115,0.601,91836,0.7020000000000001,0.108,7,0.226,-7.013,0,0.0896,179.981,4,0.861,20
Andy & Rachel Graham,6QCs4CLc59jdlvorcu31uI,O God Arise,0.907,0.387,297982,0.0937,0.0,4,0.362,-13.462,1,0.0439,81.896,4,0.214,6
convolk,4I6kk0kKTMB98clm4odjHG,only see u in my dreams,0.375,0.341,144297,0.7190000000000001,0.0,11,0.109,-8.762,1,0.0884,159.971,4,0.349,30
Baby Lullaby,51DPZjseNwAVsBWM3gdyGl,Twinkle Twinkle Little Star,0.937,0.659,136409,0.0497,0.337,5,0.072,-24.975,1,0.0413,75.032,4,0.55,0
Ennio Morricone,35iN9LQ6cjZyHTC7fbspW9,"The Trio (From ""The Good, the Bad and the Ugly"")",0.2239999999999999,0.178,434387,0.5720000000000001,0.8170000000000001,2,0.1889999999999999,-4.735,0,0.0326,94.197,4,0.147,36
Johann Sebastian Bach,6ibP29wIT3tunHvxIpYpfk,"Sonata No. 1 in B Minor, BWV 1014: II. Allegro",0.813,0.352,176747,0.46,3.01e-05,10,0.212,-15.521,0,0.0446,103.759,4,0.738,22
Drumsound & Bassline Smith,6Tgttu3szYaqjXrN74O4EX,Dubplate,0.00302,0.47,275862,0.916,0.0621,10,0.104,-0.965,0,0.0454,173.93400000000003,4,0.0587,17
Styles,2R3jdxmtMF9j5lZdrpLYkm,Good Times,0.157,0.6970000000000001,211493,0.7609999999999999,0.0,11,0.789,-7.647,0,0.302,81.72800000000001,4,0.6659999999999999,24
